county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
New Hampshire,10.9,18.2,24.4,28.7,33.4,35.2,30.6,38.2,11.0,10.6,18.6,17.7,25.5,22.5,30.2,26.2,33.4,35.2,30.6,40.4,34.6,11.0,10.6,18.6,17.7,25.5,22.5,30.2,26.2,33.4,35.2,30.6,40.4,34.6
New Jersey,11.8,18.3,24.9,29.8,35.4,35.4,,41.5,11.8,,18.3,,24.9,,29.8,,35.4,35.4,,41.5,,11.8,,18.3,,24.9,,29.8,,35.4,35.4,,41.5,
New Mexico,12.7,17.6,20.4,23.5,25.6,29.0,18.9,28.5,15.0,10.1,20.4,13.5,24.0,14.6,27.0,17.2,25.6,29.0,18.9,32.5,20.2,15.0,10.1,20.4,13.5,24.0,14.6,27.0,17.2,25.6,29.0,18.9,32.5,20.2
New York,11.9,17.9,23.1,27.4,32.8,33.8,19.8,38.1,12.2,8.3,18.4,12.0,23.9,14.3,28.2,16.6,32.8,33.8,19.8,39.2,24.0,12.2,8.3,18.4,12.0,23.9,14.3,28.2,16.6,32.8,33.8,19.8,39.2,24.0
North Carolina,8.5,13.2,17.4,22.5,26.8,29.9,17.0,33.0,9.6,5.8,14.9,9.1,19.6,11.3,25.3,14.3,26.8,29.9,17.0,36.2,21.3,9.6,5.8,14.9,9.1,19.6,11.3,25.3,14.3,26.8,29.9,17.0,36.2,21.3
North Dakota,8.4,14.8,18.1,22.0,27.1,33.8,21.0,31.1,13.0,6.4,20.8,11.6,24.5,13.9,28.2,17.3,27.1,33.8,21.0,37.9,24.3,13.0,6.4,20.8,11.6,24.5,13.9,28.2,17.3,27.1,33.8,21.0,37.9,24.3
Ohio,9.3,13.7,17.0,21.1,24.7,27.3,15.0,29.7,10.1,6.1,14.8,9.2,18.7,10.4,23.3,12.6,24.7,27.3,15.0,32.5,18.5,10.1,6.1,14.8,9.2,18.7,10.4,23.3,12.6,24.7,27.3,15.0,32.5,18.5
Oklahoma,10.0,15.1,17.8,20.3,23.2,26.0,18.3,26.8,11.5,8.2,17.1,12.4,20.0,14.3,22.7,16.3,23.2,26.0,18.3,29.9,20.6,11.5,8.2,17.1,12.4,20.0,14.3,22.7,16.3,23.2,26.0,18.3,29.9,20.6
Oregon,11.8,17.9,20.6,25.1,29.2,31.6,18.3,35.0,12.8,8.1,19.4,12.2,22.3,13.5,27.2,16.0,29.2,31.6,18.3,37.7,21.5,12.8,8.1,19.4,12.2,22.3,13.5,27.2,16.0,29.2,31.6,18.3,37.7,21.5
Pennsylvania,8.7,13.6,17.9,22.4,27.0,28.6,15.7,33.1,9.2,5.5,14.3,8.6,19.0,10.5,23.7,12.9,27.0,28.6,15.7,34.9,19.1,9.2,5.5,14.3,8.6,19.0,10.5,23.7,12.9,27.0,28.6,15.7,34.9,19.1
